in s,C1 in V
-1.044E-07,-5.03117E-01
-1.040E-07,-5.03117E-01
-1.036E-07,-5.12883E-01
-1.032E-07,-5.07023E-01
-1.028E-07,-5.05070E-01
-1.024E-07,-5.03117E-01
-1.020E-07,-5.05070E-01
-1.016E-07,-5.14836E-01
-1.012E-07,-5.03117E-01
-1.008E-07,-5.08977E-01
-1.004E-07,-5.05070E-01
-1.000E-07,-5.05070E-01
-9.960E-08,-5.05070E-01
-9.920E-08,-5.08977E-01
-9.880E-08,-4.97258E-01
-9.840E-08,-5.03117E-01
-9.800E-08,-4.97258E-01
-9.760E-08,-4.95305E-01
-9.720E-08,-5.07023E-01
-9.680E-08,-4.97258E-01
-9.640E-08,-5.03117E-01
-9.600E-08,-5.08977E-01
-9.560E-08,-5.07023E-01
-9.520E-08,-5.10930E-01
-9.480E-08,-5.07023E-01
-9.440E-08,-5.07023E-01
-9.400E-08,-5.12883E-01
-9.360E-08,-4.95305E-01
-9.320E-08,-4.97258E-01
-9.280E-08,-5.10930E-01
-9.240E-08,-5.07023E-01
-9.200E-08,-5.03117E-01
-9.160E-08,-5.01164E-01
-9.120E-08,-5.03117E-01
-9.080E-08,-4.95305E-01
-9.040E-08,-4.95305E-01
-9.000E-08,-5.03117E-01
-8.960E-08,-5.08977E-01
-8.920E-08,-5.14836E-01
-8.880E-08,-5.16789E-01
-8.840E-08,-5.16789E-01
-8.800E-08,-5.07023E-01
-8.760E-08,-5.07023E-01
-8.720E-08,-5.10930E-01
-8.680E-08,-5.05070E-01
-8.640E-08,-5.01164E-01
-8.600E-08,-5.05070E-01
-8.560E-08,-4.99211E-01
-8.520E-08,-4.97258E-01
-8.480E-08,-5.08977E-01
-8.440E-08,-5.08977E-01
-8.400E-08,-5.07023E-01
-8.360E-08,-5.14836E-01
-8.320E-08,-5.08977E-01
-8.280E-08,-5.05070E-01
-8.240E-08,-5.08977E-01
-8.200E-08,-5.03117E-01
-8.160E-08,-4.99211E-01
-8.120E-08,-4.97258E-01
-8.080E-08,-5.03117E-01
-8.040E-08,-5.08977E-01
-8.000E-08,-5.03117E-01
-7.960E-08,-5.14836E-01
-7.920E-08,-5.16789E-01
-7.880E-08,-5.03117E-01
-7.840E-08,-5.12883E-01
-7.800E-08,-5.08977E-01
-7.760E-08,-5.05070E-01
-7.720E-08,-5.01164E-01
-7.680E-08,-5.07023E-01
-7.640E-08,-5.03117E-01
-7.600E-08,-5.05070E-01
-7.560E-08,-5.10930E-01
-7.520E-08,-5.08977E-01
-7.480E-08,-5.07023E-01
-7.440E-08,-5.05070E-01
-7.400E-08,-5.10930E-01
-7.360E-08,-5.10930E-01
-7.320E-08,-5.05070E-01
-7.280E-08,-5.07023E-01
-7.240E-08,-5.07023E-01
-7.200E-08,-5.01164E-01
-7.160E-08,-5.07023E-01
-7.120E-08,-5.01164E-01
-7.080E-08,-5.08977E-01
-7.040E-08,-5.12883E-01
-7.000E-08,-5.07023E-01
-6.960E-08,-5.05070E-01
-6.920E-08,-5.01164E-01
-6.880E-08,-5.07023E-01
-6.840E-08,-5.03117E-01
-6.800E-08,-4.99211E-01
-6.760E-08,-5.08977E-01
-6.720E-08,-5.07023E-01
-6.680E-08,-4.97258E-01
-6.640E-08,-5.08977E-01
-6.600E-08,-5.03117E-01
-6.560E-08,-5.08977E-01
-6.520E-08,-5.03117E-01
-6.480E-08,-5.01164E-01
-6.440E-08,-5.08977E-01
-6.400E-08,-5.05070E-01
-6.360E-08,-5.07023E-01
-6.320E-08,-5.05070E-01
-6.280E-08,-5.08977E-01
-6.240E-08,-5.07023E-01
-6.200E-08,-5.01164E-01
-6.160E-08,-5.12883E-01
-6.120E-08,-5.03117E-01
-6.080E-08,-5.01164E-01
-6.040E-08,-5.03117E-01
-6.000E-08,-5.01164E-01
-5.960E-08,-5.07023E-01
-5.920E-08,-5.07023E-01
-5.880E-08,-5.07023E-01
-5.840E-08,-5.05070E-01
-5.800E-08,-5.08977E-01
-5.760E-08,-5.01164E-01
-5.720E-08,-5.01164E-01
-5.680E-08,-5.08977E-01
-5.640E-08,-5.05070E-01
-5.600E-08,-5.07023E-01
-5.560E-08,-5.01164E-01
-5.520E-08,-5.08977E-01
-5.480E-08,-5.05070E-01
-5.440E-08,-5.08977E-01
-5.400E-08,-5.10930E-01
-5.360E-08,-5.10930E-01
-5.320E-08,-4.97258E-01
-5.280E-08,-5.08977E-01
-5.240E-08,-5.08977E-01
-5.200E-08,-5.03117E-01
-5.160E-08,-5.12883E-01
-5.120E-08,-5.10930E-01
-5.080E-08,-5.12883E-01
-5.040E-08,-5.14836E-01
-5.000E-08,-5.10930E-01
-4.960E-08,-5.14836E-01
-4.920E-08,-4.99211E-01
-4.880E-08,-5.03117E-01
-4.840E-08,-4.99211E-01
-4.800E-08,-4.87492E-01
-4.760E-08,-5.03117E-01
-4.720E-08,-5.08977E-01
-4.680E-08,-5.05070E-01
-4.640E-08,-5.08977E-01
-4.600E-08,-5.07023E-01
-4.560E-08,-5.03117E-01
-4.520E-08,-5.10930E-01
-4.480E-08,-5.12883E-01
-4.440E-08,-5.05070E-01
-4.400E-08,-5.07023E-01
-4.360E-08,-5.07023E-01
-4.320E-08,-4.97258E-01
-4.280E-08,-5.01164E-01
-4.240E-08,-4.99211E-01
-4.200E-08,-5.07023E-01
-4.160E-08,-5.14836E-01
-4.120E-08,-5.03117E-01
-4.080E-08,-5.03117E-01
-4.040E-08,-5.14836E-01
-4.000E-08,-5.08977E-01
-3.960E-08,-5.08977E-01
-3.920E-08,-5.08977E-01
-3.880E-08,-5.08977E-01
-3.840E-08,-5.12883E-01
-3.800E-08,-5.03117E-01
-3.760E-08,-5.01164E-01
-3.720E-08,-5.12883E-01
-3.680E-08,-5.08977E-01
-3.640E-08,-5.08977E-01
-3.600E-08,-5.08977E-01
-3.560E-08,-5.05070E-01
-3.520E-08,-5.14836E-01
-3.480E-08,-5.08977E-01
-3.440E-08,-5.03117E-01
-3.400E-08,-5.03117E-01
-3.360E-08,-5.14836E-01
-3.320E-08,-5.05070E-01
-3.280E-08,-5.16789E-01
-3.240E-08,-5.14836E-01
-3.200E-08,-5.03117E-01
-3.160E-08,-5.12883E-01
-3.120E-08,-5.08977E-01
-3.080E-08,-5.03117E-01
-3.040E-08,-5.03117E-01
-3.000E-08,-5.08977E-01
-2.960E-08,-5.01164E-01
-2.920E-08,-5.01164E-01
-2.880E-08,-5.03117E-01
-2.840E-08,-5.08977E-01
-2.800E-08,-5.08977E-01
-2.760E-08,-4.97258E-01
-2.720E-08,-5.07023E-01
-2.680E-08,-5.01164E-01
-2.640E-08,-5.07023E-01
-2.600E-08,-5.12883E-01
-2.560E-08,-5.14836E-01
-2.520E-08,-5.08977E-01
-2.480E-08,-5.07023E-01
-2.440E-08,-5.01164E-01
-2.400E-08,-5.07023E-01
-2.360E-08,-5.03117E-01
-2.320E-08,-5.05070E-01
-2.280E-08,-5.03117E-01
-2.240E-08,-5.05070E-01
-2.200E-08,-5.05070E-01
-2.160E-08,-5.07023E-01
-2.120E-08,-5.05070E-01
-2.080E-08,-5.10930E-01
-2.040E-08,-5.08977E-01
-2.000E-08,-5.03117E-01
-1.960E-08,-5.05070E-01
-1.920E-08,-5.08977E-01
-1.880E-08,-5.03117E-01
-1.840E-08,-5.01164E-01
-1.800E-08,-5.05070E-01
-1.760E-08,-5.07023E-01
-1.720E-08,-5.05070E-01
-1.680E-08,-5.07023E-01
-1.640E-08,-5.01164E-01
-1.600E-08,-5.05070E-01
-1.560E-08,-4.99211E-01
-1.520E-08,-5.07023E-01
-1.480E-08,-5.03117E-01
-1.440E-08,-4.93352E-01
-1.400E-08,-4.95305E-01
-1.360E-08,-4.99211E-01
-1.320E-08,-4.87492E-01
-1.280E-08,-4.83586E-01
-1.240E-08,-4.73820E-01
-1.200E-08,-4.66008E-01
-1.160E-08,-4.66008E-01
-1.120E-08,-4.56242E-01
-1.080E-08,-4.40617E-01
-1.040E-08,-4.40617E-01
-1.000E-08,-4.30852E-01
-9.600E-09,-4.13273E-01
-9.200E-09,-3.97648E-01
-8.800E-09,-3.80070E-01
-8.400E-09,-3.62492E-01
-8.000E-09,-3.46867E-01
-7.600E-09,-3.27336E-01
-7.200E-09,-3.07805E-01
-6.800E-09,-2.84367E-01
-6.400E-09,-2.64836E-01
-6.000E-09,-2.49211E-01
-5.600E-09,-2.16008E-01
-5.200E-09,-1.98430E-01
-4.800E-09,-1.74992E-01
-4.400E-09,-1.55461E-01
-4.000E-09,-1.28117E-01
-3.600E-09,-1.08586E-01
-3.200E-09,-8.90547E-02
-2.800E-09,-7.34297E-02
-2.400E-09,-5.58516E-02
-2.000E-09,-4.21797E-02
-1.600E-09,-2.65547E-02
-1.200E-09,-1.28828E-02
-8.000E-10,-3.11719E-03
-4.000E-10,6.64844E-03
2.610E-24,2.03203E-02
4.000E-10,1.83672E-02
8.000E-10,2.22734E-02
1.200E-09,2.61797E-02
1.600E-09,2.42266E-02
2.000E-09,2.03203E-02
2.400E-09,2.22734E-02
2.800E-09,2.03203E-02
3.200E-09,1.44609E-02
3.600E-09,8.60156E-03
4.000E-09,4.69531E-03
4.400E-09,1.05547E-02
4.800E-09,7.89062E-04
5.200E-09,7.89062E-04
5.600E-09,-1.09297E-02
6.000E-09,-1.09297E-02
6.400E-09,-1.48359E-02
6.800E-09,-1.67891E-02
7.200E-09,-7.02344E-03
7.600E-09,-1.48359E-02
8.000E-09,-1.48359E-02
8.400E-09,-1.87422E-02
8.800E-09,-1.28828E-02
9.200E-09,-1.48359E-02
9.600E-09,-1.09297E-02
1.000E-08,-1.09297E-02
1.040E-08,-1.16406E-03
1.080E-08,-7.02344E-03
1.120E-08,-3.11719E-03
1.160E-08,6.64844E-03
1.200E-08,-1.16406E-03
1.240E-08,7.89062E-04
1.280E-08,2.74219E-03
1.320E-08,7.89062E-04
1.360E-08,7.89062E-04
1.400E-08,8.60156E-03
1.440E-08,8.60156E-03
1.480E-08,6.64844E-03
1.520E-08,6.64844E-03
1.560E-08,2.74219E-03
1.600E-08,6.64844E-03
1.640E-08,-3.11719E-03
1.680E-08,4.69531E-03
1.720E-08,4.69531E-03
1.760E-08,1.64141E-02
1.800E-08,1.25078E-02
1.840E-08,-1.16406E-03
1.880E-08,7.89062E-04
1.920E-08,7.89062E-04
1.960E-08,-1.16406E-03
2.000E-08,2.74219E-03
2.040E-08,2.74219E-03
2.080E-08,2.74219E-03
2.120E-08,6.64844E-03
2.160E-08,4.69531E-03
2.200E-08,2.74219E-03
2.240E-08,6.64844E-03
2.280E-08,1.25078E-02
2.320E-08,1.44609E-02
2.360E-08,1.83672E-02
2.400E-08,1.83672E-02
2.440E-08,1.64141E-02
2.480E-08,1.44609E-02
2.520E-08,1.64141E-02
2.560E-08,1.44609E-02
2.600E-08,2.74219E-03
2.640E-08,1.25078E-02
