in s,C1 in V
-1.32800E-07,-5.13916E-01
-1.32400E-07,-5.11475E-01
-1.32000E-07,-5.04150E-01
-1.31600E-07,-4.99268E-01
-1.31200E-07,-5.01709E-01
-1.30800E-07,-5.09033E-01
-1.30400E-07,-5.13916E-01
-1.30000E-07,-5.16357E-01
-1.29600E-07,-5.16357E-01
-1.29200E-07,-5.13916E-01
-1.28800E-07,-5.11475E-01
-1.28400E-07,-5.06592E-01
-1.28000E-07,-5.04150E-01
-1.27600E-07,-5.06592E-01
-1.27200E-07,-5.09033E-01
-1.26800E-07,-5.09033E-01
-1.26400E-07,-5.06592E-01
-1.26000E-07,-5.06592E-01
-1.25600E-07,-5.11475E-01
-1.25200E-07,-5.16357E-01
-1.24800E-07,-5.13916E-01
-1.24400E-07,-5.09033E-01
-1.24000E-07,-5.06592E-01
-1.23600E-07,-5.06592E-01
-1.23200E-07,-5.06592E-01
-1.22800E-07,-5.04150E-01
-1.22400E-07,-5.01709E-01
-1.22000E-07,-5.06592E-01
-1.21600E-07,-5.13916E-01
-1.21200E-07,-5.18799E-01
-1.20800E-07,-5.16357E-01
-1.20400E-07,-5.09033E-01
-1.20000E-07,-5.04150E-01
-1.19600E-07,-5.01709E-01
-1.19200E-07,-5.01709E-01
-1.18800E-07,-5.01709E-01
-1.18400E-07,-5.04150E-01
-1.18000E-07,-5.09033E-01
-1.17600E-07,-5.13916E-01
-1.17200E-07,-5.11475E-01
-1.16800E-07,-5.06592E-01
-1.16400E-07,-5.06592E-01
-1.16000E-07,-5.09033E-01
-1.15600E-07,-5.11475E-01
-1.15200E-07,-5.11475E-01
-1.14800E-07,-5.11475E-01
-1.14400E-07,-5.11475E-01
-1.14000E-07,-5.13916E-01
-1.13600E-07,-5.13916E-01
-1.13200E-07,-5.11475E-01
-1.12800E-07,-5.09033E-01
-1.12400E-07,-5.09033E-01
-1.12000E-07,-5.09033E-01
-1.11600E-07,-5.06592E-01
-1.11200E-07,-5.01709E-01
-1.10800E-07,-4.99268E-01
-1.10400E-07,-5.04150E-01
-1.10000E-07,-5.16357E-01
-1.09600E-07,-5.23682E-01
-1.09200E-07,-5.18799E-01
-1.08800E-07,-5.09033E-01
-1.08400E-07,-5.04150E-01
-1.08000E-07,-5.06592E-01
-1.07600E-07,-5.09033E-01
-1.07200E-07,-5.11475E-01
-1.06800E-07,-5.16357E-01
-1.06400E-07,-5.16357E-01
-1.06000E-07,-5.11475E-01
-1.05600E-07,-5.09033E-01
-1.05200E-07,-5.11475E-01
-1.04800E-07,-5.13916E-01
-1.04400E-07,-5.13916E-01
-1.04000E-07,-5.09033E-01
-1.03600E-07,-5.06592E-01
-1.03200E-07,-5.09033E-01
-1.02800E-07,-5.11475E-01
-1.02400E-07,-5.13916E-01
-1.02000E-07,-5.13916E-01
-1.01600E-07,-5.09033E-01
-1.01200E-07,-5.04150E-01
-1.00800E-07,-5.06592E-01
-1.00400E-07,-5.13916E-01
-1.00000E-07,-5.16357E-01
-9.96000E-08,-5.11475E-01
-9.92000E-08,-5.09033E-01
-9.88000E-08,-5.13916E-01
-9.84000E-08,-5.13916E-01
-9.80000E-08,-5.06592E-01
-9.76000E-08,-4.96826E-01
-9.72000E-08,-4.99268E-01
-9.68000E-08,-5.09033E-01
-9.64000E-08,-5.13916E-01
-9.60000E-08,-5.09033E-01
-9.56000E-08,-5.06592E-01
-9.52000E-08,-5.09033E-01
-9.48000E-08,-5.13916E-01
-9.44000E-08,-5.18799E-01
-9.40000E-08,-5.16357E-01
-9.36000E-08,-5.09033E-01
-9.32000E-08,-5.01709E-01
-9.28000E-08,-5.04150E-01
-9.24000E-08,-5.11475E-01
-9.20000E-08,-5.11475E-01
-9.16000E-08,-5.06592E-01
-9.12000E-08,-5.04150E-01
-9.08000E-08,-5.11475E-01
-9.04000E-08,-5.16357E-01
-9.00000E-08,-5.09033E-01
-8.96000E-08,-5.01709E-01
-8.92000E-08,-5.04150E-01
-8.88000E-08,-5.11475E-01
-8.84000E-08,-5.13916E-01
-8.80000E-08,-5.11475E-01
-8.76000E-08,-5.11475E-01
-8.72000E-08,-5.11475E-01
-8.68000E-08,-5.09033E-01
-8.64000E-08,-5.06592E-01
-8.60000E-08,-5.06592E-01
-8.56000E-08,-5.04150E-01
-8.52000E-08,-5.01709E-01
-8.48000E-08,-5.01709E-01
-8.44000E-08,-5.09033E-01
-8.40000E-08,-5.13916E-01
-8.36000E-08,-5.11475E-01
-8.32000E-08,-5.06592E-01
-8.28000E-08,-5.06592E-01
-8.24000E-08,-5.09033E-01
-8.20000E-08,-5.09033E-01
-8.16000E-08,-5.06592E-01
-8.12000E-08,-5.06592E-01
-8.08000E-08,-5.09033E-01
-8.04000E-08,-5.06592E-01
-8.00000E-08,-5.01709E-01
-7.96000E-08,-5.01709E-01
-7.92000E-08,-5.09033E-01
-7.88000E-08,-5.13916E-01
-7.84000E-08,-5.13916E-01
-7.80000E-08,-5.09033E-01
-7.76000E-08,-5.04150E-01
-7.72000E-08,-5.01709E-01
-7.68000E-08,-5.04150E-01
-7.64000E-08,-5.09033E-01
-7.60000E-08,-5.09033E-01
-7.56000E-08,-5.06592E-01
-7.52000E-08,-5.09033E-01
-7.48000E-08,-5.16357E-01
-7.44000E-08,-5.16357E-01
-7.40000E-08,-5.09033E-01
-7.36000E-08,-5.04150E-01
-7.32000E-08,-5.09033E-01
-7.28000E-08,-5.11475E-01
-7.24000E-08,-5.06592E-01
-7.20000E-08,-5.04150E-01
-7.16000E-08,-5.09033E-01
-7.12000E-08,-5.16357E-01
-7.08000E-08,-5.13916E-01
-7.04000E-08,-5.09033E-01
-7.00000E-08,-5.11475E-01
-6.96000E-08,-5.16357E-01
-6.92000E-08,-5.16357E-01
-6.88000E-08,-5.13916E-01
-6.84000E-08,-5.13916E-01
-6.80000E-08,-5.13916E-01
-6.76000E-08,-5.11475E-01
-6.72000E-08,-5.09033E-01
-6.68000E-08,-5.11475E-01
-6.64000E-08,-5.13916E-01
-6.60000E-08,-5.09033E-01
-6.56000E-08,-5.04150E-01
-6.52000E-08,-5.04150E-01
-6.48000E-08,-5.11475E-01
-6.44000E-08,-5.16357E-01
-6.40000E-08,-5.13916E-01
-6.36000E-08,-5.09033E-01
-6.32000E-08,-5.04150E-01
-6.28000E-08,-5.01709E-01
-6.24000E-08,-5.01709E-01
-6.20000E-08,-5.06592E-01
-6.16000E-08,-5.11475E-01
-6.12000E-08,-5.16357E-01
-6.08000E-08,-5.18799E-01
-6.04000E-08,-5.16357E-01
-6.00000E-08,-5.11475E-01
-5.96000E-08,-5.04150E-01
-5.92000E-08,-5.04150E-01
-5.88000E-08,-5.09033E-01
-5.84000E-08,-5.11475E-01
-5.80000E-08,-5.06592E-01
-5.76000E-08,-5.01709E-01
-5.72000E-08,-5.01709E-01
-5.68000E-08,-5.04150E-01
-5.64000E-08,-5.04150E-01
-5.60000E-08,-5.04150E-01
-5.56000E-08,-5.06592E-01
-5.52000E-08,-5.09033E-01
-5.48000E-08,-5.11475E-01
-5.44000E-08,-5.13916E-01
-5.40000E-08,-5.13916E-01
-5.36000E-08,-5.11475E-01
-5.32000E-08,-5.06592E-01
-5.28000E-08,-5.06592E-01
-5.24000E-08,-5.11475E-01
-5.20000E-08,-5.13916E-01
-5.16000E-08,-5.13916E-01
-5.12000E-08,-5.09033E-01
-5.08000E-08,-5.06592E-01
-5.04000E-08,-5.06592E-01
-5.00000E-08,-5.06592E-01
-4.96000E-08,-5.09033E-01
-4.92000E-08,-5.11475E-01
-4.88000E-08,-5.13916E-01
-4.84000E-08,-5.13916E-01
-4.80000E-08,-5.13916E-01
-4.76000E-08,-5.16357E-01
-4.72000E-08,-5.16357E-01
-4.68000E-08,-5.11475E-01
-4.64000E-08,-5.09033E-01
-4.60000E-08,-5.11475E-01
-4.56000E-08,-5.13916E-01
-4.52000E-08,-5.11475E-01
-4.48000E-08,-5.09033E-01
-4.44000E-08,-5.09033E-01
-4.40000E-08,-5.11475E-01
-4.36000E-08,-5.11475E-01
-4.32000E-08,-5.11475E-01
-4.28000E-08,-5.11475E-01
-4.24000E-08,-5.09033E-01
-4.20000E-08,-5.04150E-01
-4.16000E-08,-5.04150E-01
-4.12000E-08,-5.09033E-01
-4.08000E-08,-5.09033E-01
-4.04000E-08,-5.04150E-01
-4.00000E-08,-5.01709E-01
-3.96000E-08,-5.09033E-01
-3.92000E-08,-5.13916E-01
-3.88000E-08,-5.11475E-01
-3.84000E-08,-5.06592E-01
-3.80000E-08,-5.09033E-01
-3.76000E-08,-5.11475E-01
-3.72000E-08,-5.09033E-01
-3.68000E-08,-5.04150E-01
-3.64000E-08,-5.04150E-01
-3.60000E-08,-5.06592E-01
-3.56000E-08,-5.06592E-01
-3.52000E-08,-5.06592E-01
-3.48000E-08,-5.11475E-01
-3.44000E-08,-5.13916E-01
-3.40000E-08,-5.09033E-01
-3.36000E-08,-5.01709E-01
-3.32000E-08,-5.01709E-01
-3.28000E-08,-5.04150E-01
-3.24000E-08,-5.04150E-01
-3.20000E-08,-5.04150E-01
-3.16000E-08,-5.06592E-01
-3.12000E-08,-5.09033E-01
-3.08000E-08,-5.09033E-01
-3.04000E-08,-5.06592E-01
-3.00000E-08,-5.04150E-01
-2.96000E-08,-5.06592E-01
-2.92000E-08,-5.09033E-01
-2.88000E-08,-5.09033E-01
-2.84000E-08,-5.09033E-01
-2.80000E-08,-5.09033E-01
-2.76000E-08,-5.09033E-01
-2.72000E-08,-5.11475E-01
-2.68000E-08,-5.16357E-01
-2.64000E-08,-5.18799E-01
-2.60000E-08,-5.13916E-01
-2.56000E-08,-5.04150E-01
-2.52000E-08,-4.96826E-01
-2.48000E-08,-4.96826E-01
-2.44000E-08,-5.04150E-01
-2.40000E-08,-5.09033E-01
-2.36000E-08,-5.06592E-01
-2.32000E-08,-5.01709E-01
-2.28000E-08,-5.01709E-01
-2.24000E-08,-5.09033E-01
-2.20000E-08,-5.16357E-01
-2.16000E-08,-5.13916E-01
-2.12000E-08,-5.06592E-01
-2.08000E-08,-5.04150E-01
-2.04000E-08,-5.09033E-01
-2.00000E-08,-5.16357E-01
-1.96000E-08,-5.16357E-01
-1.92000E-08,-5.13916E-01
-1.88000E-08,-5.11475E-01
-1.84000E-08,-5.11475E-01
-1.80000E-08,-5.06592E-01
-1.76000E-08,-5.04150E-01
-1.72000E-08,-5.06592E-01
-1.68000E-08,-5.13916E-01
-1.64000E-08,-5.18799E-01
-1.60000E-08,-5.16357E-01
