in s,C1 in V
-3.840E-07,7.4219E-04
-3.832E-07,-3.7109E-03
-3.824E-07,2.2266E-03
-3.816E-07,-7.4219E-04
-3.808E-07,7.4219E-04
-3.800E-07,-3.7109E-03
-3.792E-07,-2.2266E-03
-3.784E-07,7.4219E-04
-3.776E-07,7.4219E-04
-3.768E-07,-7.4219E-04
-3.760E-07,-7.4219E-04
-3.752E-07,3.7109E-03
-3.744E-07,5.1953E-03
-3.736E-07,-7.4219E-04
-3.728E-07,-7.4219E-04
-3.720E-07,-7.4219E-04
-3.712E-07,-7.4219E-04
-3.704E-07,-7.4219E-04
-3.696E-07,-2.2266E-03
-3.688E-07,-7.4219E-04
-3.680E-07,2.2266E-03
-3.672E-07,-2.2266E-03
-3.664E-07,2.2266E-03
-3.656E-07,-7.4219E-04
-3.648E-07,-7.4219E-04
-3.640E-07,-3.7109E-03
-3.632E-07,3.7109E-03
-3.624E-07,7.4219E-04
-3.616E-07,3.7109E-03
-3.608E-07,-3.7109E-03
-3.600E-07,-2.2266E-03
-3.592E-07,7.4219E-04
-3.584E-07,-3.7109E-03
-3.576E-07,7.4219E-04
-3.568E-07,5.1953E-03
-3.560E-07,7.4219E-04
-3.552E-07,7.4219E-04
-3.544E-07,7.4219E-04
-3.536E-07,2.2266E-03
-3.528E-07,7.4219E-04
-3.520E-07,-7.4219E-04
-3.512E-07,-7.4219E-04
-3.504E-07,-2.2266E-03
-3.496E-07,-7.4219E-04
-3.488E-07,7.4219E-04
-3.480E-07,-3.7109E-03
-3.472E-07,-3.7109E-03
-3.464E-07,7.4219E-04
-3.456E-07,-7.4219E-04
-3.448E-07,-2.2266E-03
-3.440E-07,7.4219E-04
-3.432E-07,-2.2266E-03
-3.424E-07,7.4219E-04
-3.416E-07,-3.7109E-03
-3.408E-07,3.7109E-03
-3.400E-07,-2.2266E-03
-3.392E-07,-3.7109E-03
-3.384E-07,7.4219E-04
-3.376E-07,7.4219E-04
-3.368E-07,-2.2266E-03
-3.360E-07,3.7109E-03
-3.352E-07,-3.7109E-03
-3.344E-07,5.1953E-03
-3.336E-07,-2.2266E-03
-3.328E-07,3.7109E-03
-3.320E-07,2.2266E-03
-3.312E-07,7.4219E-04
-3.304E-07,7.4219E-04
-3.296E-07,3.7109E-03
-3.288E-07,-2.2266E-03
-3.280E-07,-5.1953E-03
-3.272E-07,-3.7109E-03
-3.264E-07,-7.4219E-04
-3.256E-07,-3.7109E-03
-3.248E-07,7.4219E-04
-3.240E-07,-7.4219E-04
-3.232E-07,2.2266E-03
-3.224E-07,-7.4219E-04
-3.216E-07,-7.4219E-04
-3.208E-07,-3.7109E-03
-3.200E-07,-7.4219E-04
-3.192E-07,-7.4219E-04
-3.184E-07,-2.2266E-03
-3.176E-07,7.4219E-04
-3.168E-07,-7.4219E-04
-3.160E-07,-2.2266E-03
-3.152E-07,-2.2266E-03
-3.144E-07,5.1953E-03
