in s,C1 in V
-3.040E-07,-5.5176E-04
-3.032E-07,-1.6553E-03
-3.024E-07,-5.5176E-04
-3.016E-07,-5.5176E-04
-3.008E-07,-3.8623E-03
-3.000E-07,-2.7588E-03
-2.992E-07,3.8623E-03
-2.984E-07,-1.6553E-03
-2.976E-07,-1.6553E-03
-2.968E-07,-5.5176E-04
-2.960E-07,-5.5176E-04
-2.952E-07,5.5176E-04
-2.944E-07,5.5176E-04
-2.936E-07,5.5176E-04
-2.928E-07,1.6553E-03
-2.920E-07,-1.6553E-03
-2.912E-07,1.6553E-03
-2.904E-07,-5.5176E-04
-2.896E-07,-5.5176E-04
-2.888E-07,5.5176E-04
-2.880E-07,-2.7588E-03
-2.872E-07,5.5176E-04
-2.864E-07,5.5176E-04
-2.856E-07,1.6553E-03
-2.848E-07,-1.6553E-03
-2.840E-07,-1.6553E-03
-2.832E-07,-5.5176E-04
-2.824E-07,-5.5176E-04
-2.816E-07,-5.5176E-04
-2.808E-07,-2.7588E-03
-2.800E-07,1.6553E-03
-2.792E-07,-1.6553E-03
-2.784E-07,-1.6553E-03
-2.776E-07,5.5176E-04
-2.768E-07,-2.7588E-03
-2.760E-07,-5.5176E-04
-2.752E-07,2.7588E-03
-2.744E-07,-1.6553E-03
-2.736E-07,1.6553E-03
-2.728E-07,2.7588E-03
-2.720E-07,-5.5176E-04
-2.712E-07,-5.5176E-04
-2.704E-07,-1.6553E-03
-2.696E-07,-1.6553E-03
-2.688E-07,-5.5176E-04
-2.680E-07,-5.5176E-04
-2.672E-07,-2.7588E-03
-2.664E-07,2.7588E-03
-2.656E-07,-2.7588E-03
-2.648E-07,1.6553E-03
-2.640E-07,-5.5176E-04
-2.632E-07,-5.5176E-04
-2.624E-07,1.6553E-03
-2.616E-07,2.7588E-03
-2.608E-07,2.7588E-03
-2.600E-07,1.6553E-03
-2.592E-07,-2.7588E-03
-2.584E-07,5.5176E-04
-2.576E-07,5.5176E-04
-2.568E-07,3.8623E-03
-2.560E-07,-5.5176E-04
-2.552E-07,-5.5176E-04
-2.544E-07,-1.6553E-03
-2.536E-07,-5.5176E-04
-2.528E-07,-2.7588E-03
-2.520E-07,2.7588E-03
-2.512E-07,5.5176E-04
-2.504E-07,5.5176E-04
-2.496E-07,-2.7588E-03
-2.488E-07,-1.6553E-03
-2.480E-07,1.6553E-03
-2.472E-07,1.6553E-03
-2.464E-07,-2.7588E-03
-2.456E-07,-5.5176E-04
-2.448E-07,5.5176E-04
-2.440E-07,5.5176E-04
-2.432E-07,-6.0693E-03
-2.424E-07,-3.8623E-03
-2.416E-07,2.7588E-03
-2.408E-07,-5.5176E-04
-2.400E-07,-3.8623E-03
-2.392E-07,-5.5176E-04
-2.384E-07,-1.6553E-03
-2.376E-07,-1.6553E-03
-2.368E-07,-1.6553E-03
-2.360E-07,-1.6553E-03
-2.352E-07,2.7588E-03
-2.344E-07,1.6553E-03
-2.336E-07,-2.7588E-03
-2.328E-07,2.7588E-03
-2.320E-07,-2.7588E-03
-2.312E-07,5.5176E-04
-2.304E-07,-3.8623E-03
-2.296E-07,2.7588E-03
-2.288E-07,5.5176E-04
-2.280E-07,1.6553E-03
-2.272E-07,5.5176E-04
-2.264E-07,5.5176E-04
-2.256E-07,5.5176E-04
-2.248E-07,-1.6553E-03
-2.240E-07,-2.7588E-03
-2.232E-07,-5.5176E-04
-2.224E-07,1.6553E-03
-2.216E-07,2.7588E-03
-2.208E-07,-5.5176E-04
-2.200E-07,2.7588E-03
-2.192E-07,-1.6553E-03
-2.184E-07,5.5176E-04
-2.176E-07,5.5176E-04
-2.168E-07,-5.5176E-04
-2.160E-07,1.6553E-03
-2.152E-07,1.6553E-03
-2.144E-07,1.6553E-03
-2.136E-07,-5.5176E-04
-2.128E-07,-5.5176E-04
-2.120E-07,-2.7588E-03
-2.112E-07,-2.7588E-03
-2.104E-07,-2.7588E-03
-2.096E-07,2.7588E-03
-2.088E-07,-2.7588E-03
-2.080E-07,5.5176E-04
-2.072E-07,-5.5176E-04
-2.064E-07,5.5176E-04
-2.056E-07,-2.7588E-03
-2.048E-07,-2.7588E-03
-2.040E-07,-2.7588E-03
-2.032E-07,1.6553E-03
-2.024E-07,-5.5176E-04
-2.016E-07,5.5176E-04
-2.008E-07,1.6553E-03
-2.000E-07,-5.5176E-04
-1.992E-07,5.5176E-04
-1.984E-07,-5.5176E-04
-1.976E-07,-3.8623E-03
-1.968E-07,-1.6553E-03
-1.960E-07,5.5176E-04
-1.952E-07,-2.7588E-03
-1.944E-07,2.7588E-03
-1.936E-07,-5.5176E-04
-1.928E-07,-1.6553E-03
-1.920E-07,-5.5176E-04
-1.912E-07,-1.6553E-03
-1.904E-07,2.7588E-03
-1.896E-07,-5.5176E-04
-1.888E-07,-2.7588E-03
-1.880E-07,2.7588E-03
-1.872E-07,-5.5176E-04
-1.864E-07,-5.5176E-04
-1.856E-07,3.8623E-03
-1.848E-07,-5.5176E-04
-1.840E-07,-5.5176E-04
-1.832E-07,2.7588E-03
-1.824E-07,-1.6553E-03
-1.816E-07,-5.5176E-04
-1.808E-07,-5.5176E-04
-1.800E-07,2.7588E-03
-1.792E-07,5.5176E-04
-1.784E-07,5.5176E-04
-1.776E-07,-2.7588E-03
-1.768E-07,5.5176E-04
-1.760E-07,-1.6553E-03
-1.752E-07,1.6553E-03
-1.744E-07,-2.7588E-03
-1.736E-07,5.5176E-04
-1.728E-07,5.5176E-04
-1.720E-07,3.8623E-03
-1.712E-07,5.5176E-04
-1.704E-07,-5.5176E-04
-1.696E-07,-3.8623E-03
-1.688E-07,-5.5176E-04
-1.680E-07,-5.5176E-04
-1.672E-07,5.5176E-04
-1.664E-07,-1.6553E-03
-1.656E-07,-5.5176E-04
-1.648E-07,1.6553E-03
-1.640E-07,5.5176E-04
-1.632E-07,-1.6553E-03
-1.624E-07,5.5176E-04
-1.616E-07,-2.7588E-03
-1.608E-07,-1.6553E-03
-1.600E-07,-2.7588E-03
-1.592E-07,3.8623E-03
-1.584E-07,2.7588E-03
-1.576E-07,-5.5176E-04
-1.568E-07,5.5176E-04
-1.560E-07,-5.5176E-04
-1.552E-07,-5.5176E-04
-1.544E-07,5.5176E-04
-1.536E-07,-1.6553E-03
-1.528E-07,-5.5176E-04
-1.520E-07,-5.5176E-04
-1.512E-07,-5.5176E-04
-1.504E-07,-4.9658E-03
-1.496E-07,2.7588E-03
-1.488E-07,-2.7588E-03
-1.480E-07,-5.5176E-04
-1.472E-07,-1.6553E-03
-1.464E-07,5.5176E-04
-1.456E-07,-1.6553E-03
-1.448E-07,-5.5176E-04
-1.440E-07,-5.5176E-04
-1.432E-07,-5.5176E-04
-1.424E-07,-3.8623E-03
-1.416E-07,-2.7588E-03
-1.408E-07,5.5176E-04
-1.400E-07,-1.6553E-03
-1.392E-07,2.7588E-03
-1.384E-07,3.8623E-03
-1.376E-07,-1.6553E-03
-1.368E-07,5.5176E-04
-1.360E-07,5.5176E-04
-1.352E-07,5.5176E-04
-1.344E-07,-5.5176E-04
-1.336E-07,-5.5176E-04
-1.328E-07,-2.7588E-03
-1.320E-07,5.5176E-04
-1.312E-07,5.5176E-04
-1.304E-07,1.6553E-03
-1.296E-07,-5.5176E-04
-1.288E-07,-5.5176E-04
-1.280E-07,5.5176E-04
-1.272E-07,5.5176E-04
-1.264E-07,2.7588E-03
-1.256E-07,1.6553E-03
-1.248E-07,-5.5176E-04
-1.240E-07,5.5176E-04
-1.232E-07,-1.6553E-03
-1.224E-07,-5.5176E-04
-1.216E-07,-5.5176E-04
-1.208E-07,5.5176E-04
-1.200E-07,2.7588E-03
-1.192E-07,1.6553E-03
-1.184E-07,1.6553E-03
-1.176E-07,1.6553E-03
-1.168E-07,-2.7588E-03
-1.160E-07,-3.8623E-03
-1.152E-07,1.6553E-03
-1.144E-07,3.8623E-03
-1.136E-07,-1.6553E-03
-1.128E-07,5.5176E-04
-1.120E-07,5.5176E-04
-1.112E-07,5.5176E-04
-1.104E-07,-5.5176E-04
-1.096E-07,5.5176E-04
-1.088E-07,1.6553E-03
-1.080E-07,-5.5176E-04
-1.072E-07,5.5176E-04
-1.064E-07,1.6553E-03
-1.056E-07,-2.7588E-03
-1.048E-07,-5.5176E-04
-1.040E-07,-1.6553E-03
-1.032E-07,-2.7588E-03
-1.024E-07,-5.5176E-04
-1.016E-07,-1.6553E-03
-1.008E-07,-5.5176E-04
-1.000E-07,-1.6553E-03
-9.920E-08,-5.5176E-04
-9.840E-08,-5.5176E-04
-9.760E-08,-1.6553E-03
-9.680E-08,-2.7588E-03
-9.600E-08,5.5176E-04
-9.520E-08,3.8623E-03
-9.440E-08,1.6553E-03
-9.360E-08,-5.5176E-04
-9.280E-08,-1.6553E-03
-9.200E-08,-5.5176E-04
-9.120E-08,-1.6553E-03
-9.040E-08,-5.5176E-04
-8.960E-08,-5.5176E-04
-8.880E-08,-2.7588E-03
-8.800E-08,2.7588E-03
-8.720E-08,5.5176E-04
-8.640E-08,-1.6553E-03
-8.560E-08,-2.7588E-03
-8.480E-08,-1.6553E-03
-8.400E-08,5.5176E-04
-8.320E-08,-1.6553E-03
-8.240E-08,-5.5176E-04
-8.160E-08,-5.5176E-04
-8.080E-08,3.8623E-03
-8.000E-08,-1.6553E-03
-7.920E-08,5.5176E-04
-7.840E-08,-1.6553E-03
-7.760E-08,-5.5176E-04
-7.680E-08,-1.6553E-03
-7.600E-08,3.8623E-03
-7.520E-08,1.6553E-03
-7.440E-08,5.5176E-04
-7.360E-08,-2.7588E-03
-7.280E-08,-5.5176E-04
-7.200E-08,-3.8623E-03
-7.120E-08,-5.5176E-04
-7.040E-08,-2.7588E-03
-6.960E-08,-5.5176E-04
-6.880E-08,1.6553E-03
-6.800E-08,-1.6553E-03
-6.720E-08,-2.7588E-03
-6.640E-08,5.5176E-04
-6.560E-08,-2.7588E-03
-6.480E-08,5.5176E-04
-6.400E-08,-2.7588E-03
-6.320E-08,1.6553E-03
-6.240E-08,5.5176E-04
-6.160E-08,-5.5176E-04
-6.080E-08,5.5176E-04
-6.000E-08,5.5176E-04
-5.920E-08,-3.8623E-03
-5.840E-08,1.6553E-03
-5.760E-08,-1.6553E-03
-5.680E-08,-1.6553E-03
-5.600E-08,2.7588E-03
-5.520E-08,6.0693E-03
-5.440E-08,-2.7588E-03
-5.360E-08,-1.6553E-03
-5.280E-08,-2.7588E-03
-5.200E-08,-1.6553E-03
-5.120E-08,-5.5176E-04
-5.040E-08,2.7588E-03
-4.960E-08,5.5176E-04
-4.880E-08,3.8623E-03
-4.800E-08,5.5176E-04
-4.720E-08,-5.5176E-04
-4.640E-08,5.5176E-04
-4.560E-08,5.5176E-04
-4.480E-08,-1.6553E-03
-4.400E-08,-5.5176E-04
-4.320E-08,-1.6553E-03
-4.240E-08,-1.6553E-03
-4.160E-08,-5.5176E-04
-4.080E-08,-5.5176E-04
-4.000E-08,-4.9658E-03
-3.920E-08,-5.5176E-04
-3.840E-08,-3.8623E-03
-3.760E-08,-5.5176E-04
-3.680E-08,5.5176E-04
-3.600E-08,-5.5176E-04
-3.520E-08,1.6553E-03
-3.440E-08,2.7588E-03
-3.360E-08,-5.5176E-04
-3.280E-08,5.5176E-04
-3.200E-08,-1.6553E-03
-3.120E-08,5.5176E-04
-3.040E-08,1.6553E-03
-2.960E-08,-5.5176E-04
-2.880E-08,-2.7588E-03
-2.800E-08,-2.7588E-03
-2.720E-08,-1.6553E-03
-2.640E-08,-1.6553E-03
-2.560E-08,-5.5176E-04
-2.480E-08,-3.8623E-03
-2.400E-08,-5.5176E-04
-2.320E-08,2.7588E-03
-2.240E-08,-2.7588E-03
-2.160E-08,-5.5176E-04
-2.080E-08,-5.5176E-04
-2.000E-08,1.6553E-03
-1.920E-08,5.5176E-04
-1.840E-08,1.6553E-03
-1.760E-08,-3.8623E-03
-1.680E-08,-5.5176E-04
-1.600E-08,-1.6553E-03
-1.520E-08,-1.6553E-03
-1.440E-08,-2.7588E-03
-1.360E-08,-5.5176E-04
-1.280E-08,-1.6553E-03
-1.200E-08,1.6553E-03
-1.120E-08,3.8623E-03
-1.040E-08,1.0483E-02
-9.600E-09,7.1729E-03
-8.800E-09,1.8208E-02
-8.000E-09,2.3726E-02
-7.200E-09,2.8140E-02
-6.400E-09,4.5796E-02
-5.600E-09,6.1245E-02
-4.800E-09,8.1108E-02
-4.000E-09,1.0539E-01
-3.200E-09,1.3187E-01
-2.400E-09,1.6387E-01
-1.600E-09,2.0139E-01
-8.000E-10,2.3781E-01
4.140E-23,2.7312E-01
8.000E-10,3.1174E-01
1.600E-09,3.4375E-01
2.400E-09,3.7906E-01
3.200E-09,4.0554E-01
4.000E-09,4.3203E-01
4.800E-09,4.5189E-01
5.600E-09,4.6844E-01
6.400E-09,4.7727E-01
7.200E-09,4.8610E-01
8.000E-09,4.9162E-01
8.800E-09,4.9713E-01
9.600E-09,4.9934E-01
1.040E-08,4.9603E-01
1.120E-08,5.0155E-01
1.200E-08,5.0265E-01
1.280E-08,5.0265E-01
1.360E-08,5.0596E-01
1.440E-08,5.0265E-01
1.520E-08,5.0707E-01
1.600E-08,5.0265E-01
1.680E-08,5.0596E-01
1.760E-08,5.0375E-01
1.840E-08,5.0265E-01
1.920E-08,5.0596E-01
2.000E-08,5.0375E-01
2.080E-08,5.0596E-01
2.160E-08,5.0596E-01
2.240E-08,5.0817E-01
2.320E-08,5.1148E-01
2.400E-08,5.0707E-01
2.480E-08,5.1148E-01
2.560E-08,5.1369E-01
2.640E-08,5.1258E-01
2.720E-08,5.1258E-01
2.800E-08,5.1258E-01
2.880E-08,5.0927E-01
2.960E-08,5.0707E-01
3.040E-08,5.0486E-01
3.120E-08,4.9824E-01
3.200E-08,4.9493E-01
3.280E-08,4.8168E-01
3.360E-08,4.7065E-01
3.440E-08,4.5410E-01
3.520E-08,4.3203E-01
3.600E-08,4.1216E-01
3.680E-08,3.8347E-01
3.760E-08,3.5147E-01
3.840E-08,3.1616E-01
3.920E-08,2.7864E-01
4.000E-08,2.4001E-01
4.080E-08,2.0801E-01
4.160E-08,1.7049E-01
4.240E-08,1.4401E-01
4.320E-08,1.0870E-01
4.400E-08,8.8833E-02
4.480E-08,7.1177E-02
4.560E-08,5.0210E-02
4.640E-08,3.9175E-02
4.720E-08,2.9243E-02
4.800E-08,2.1519E-02
4.880E-08,1.8208E-02
4.960E-08,1.8208E-02
5.040E-08,9.3799E-03
5.120E-08,1.2690E-02
5.200E-08,1.0483E-02
5.280E-08,1.1587E-02
5.360E-08,1.0483E-02
5.440E-08,8.2764E-03
5.520E-08,1.0483E-02
5.600E-08,1.2690E-02
5.680E-08,1.0483E-02
5.760E-08,1.4897E-02
5.840E-08,1.0483E-02
5.920E-08,1.2690E-02
6.000E-08,1.2690E-02
6.080E-08,1.2690E-02
6.160E-08,1.0483E-02
6.240E-08,9.3799E-03
6.320E-08,8.2764E-03
6.400E-08,4.9658E-03
6.480E-08,2.7588E-03
6.560E-08,4.9658E-03
6.640E-08,3.8623E-03
6.720E-08,3.8623E-03
6.800E-08,4.9658E-03
6.880E-08,3.8623E-03
6.960E-08,3.8623E-03
7.040E-08,2.7588E-03
7.120E-08,3.8623E-03
7.200E-08,6.0693E-03
7.280E-08,6.0693E-03
7.360E-08,1.6553E-03
7.440E-08,2.7588E-03
7.520E-08,1.6553E-03
7.600E-08,1.6553E-03
7.680E-08,2.7588E-03
7.760E-08,4.9658E-03
7.840E-08,1.6553E-03
7.920E-08,4.9658E-03
8.000E-08,3.8623E-03
8.080E-08,1.6553E-03
8.160E-08,3.8623E-03
8.240E-08,4.9658E-03
8.320E-08,3.8623E-03
8.400E-08,1.6553E-03
8.480E-08,4.9658E-03
8.560E-08,3.8623E-03
8.640E-08,4.9658E-03
8.720E-08,3.8623E-03
8.800E-08,2.7588E-03
8.880E-08,3.8623E-03
8.960E-08,4.9658E-03
9.040E-08,7.1729E-03
9.120E-08,4.9658E-03
9.200E-08,6.0693E-03
9.280E-08,4.9658E-03
9.360E-08,3.8623E-03
9.440E-08,2.7588E-03
9.520E-08,3.8623E-03
9.600E-08,2.7588E-03
9.680E-08,3.8623E-03
9.760E-08,4.9658E-03
9.840E-08,2.7588E-03
9.920E-08,5.5176E-04
1.000E-07,-1.6553E-03
1.008E-07,-5.5176E-04
1.016E-07,-1.6553E-03
1.024E-07,-5.5176E-04
1.032E-07,-2.7588E-03
1.040E-07,5.5176E-04
1.048E-07,-3.8623E-03
1.056E-07,-2.7588E-03
1.064E-07,-1.6553E-03
1.072E-07,-1.6553E-03
1.080E-07,-2.7588E-03
1.088E-07,-1.6553E-03
1.096E-07,-1.6553E-03
1.104E-07,-3.8623E-03
1.112E-07,-4.9658E-03
1.120E-07,-8.2764E-03
1.128E-07,-2.7588E-03
1.136E-07,-6.0693E-03
1.144E-07,-2.7588E-03
1.152E-07,-3.8623E-03
1.160E-07,-3.8623E-03
1.168E-07,-6.0693E-03
1.176E-07,-2.7588E-03
1.184E-07,-8.2764E-03
1.192E-07,-6.0693E-03
1.200E-07,-8.2764E-03
1.208E-07,-3.8623E-03
1.216E-07,-4.9658E-03
1.224E-07,-3.8623E-03
1.232E-07,-2.7588E-03
1.240E-07,-3.8623E-03
1.248E-07,-2.7588E-03
1.256E-07,-8.2764E-03
1.264E-07,-3.8623E-03
1.272E-07,-4.9658E-03
1.280E-07,-6.0693E-03
1.288E-07,-4.9658E-03
1.296E-07,-4.9658E-03
1.304E-07,-4.9658E-03
1.312E-07,-7.1729E-03
1.320E-07,-2.7588E-03
1.328E-07,-4.9658E-03
1.336E-07,-7.1729E-03
1.344E-07,-3.8623E-03
1.352E-07,-3.8623E-03
1.360E-07,-2.7588E-03
1.368E-07,-2.7588E-03
1.376E-07,-3.8623E-03
1.384E-07,-6.0693E-03
1.392E-07,-1.6553E-03
1.400E-07,-5.5176E-04
1.408E-07,-5.5176E-04
1.416E-07,1.6553E-03
1.424E-07,4.9658E-03
1.432E-07,9.3799E-03
1.440E-07,1.2690E-02
1.448E-07,2.4829E-02
1.456E-07,3.4761E-02
1.464E-07,4.2485E-02
1.472E-07,5.5728E-02
1.480E-07,7.0073E-02
1.488E-07,9.2144E-02
1.496E-07,1.1421E-01
1.504E-07,1.3739E-01
1.512E-07,1.6608E-01
1.520E-07,1.9256E-01
1.528E-07,2.2236E-01
1.536E-07,2.4443E-01
1.544E-07,2.7422E-01
1.552E-07,2.9629E-01
1.560E-07,3.1616E-01
1.568E-07,3.3602E-01
1.576E-07,3.5368E-01
1.584E-07,3.6692E-01
1.592E-07,3.7575E-01
1.600E-07,3.8568E-01
1.608E-07,3.9340E-01
1.616E-07,4.0002E-01
1.624E-07,4.0885E-01
1.632E-07,4.0885E-01
1.640E-07,4.1658E-01
1.648E-07,4.2209E-01
1.656E-07,4.2430E-01
1.664E-07,4.2651E-01
1.672E-07,4.2872E-01
1.680E-07,4.3313E-01
1.688E-07,4.2761E-01
1.696E-07,4.2651E-01
