in s,C1 in V
-2.40000E-07,-6.26391E-03
-2.39600E-07,-6.26391E-03
-2.39200E-07,-3.56859E-03
-2.38800E-07,-8.73281E-04
-2.38400E-07,-8.73281E-04
-2.38000E-07,-6.26391E-03
-2.37600E-07,-1.16545E-02
-2.37200E-07,-1.43498E-02
-2.36800E-07,-6.26391E-03
-2.36400E-07,4.51734E-03
-2.36000E-07,7.21266E-03
-2.35600E-07,-3.56859E-03
-2.35200E-07,-1.16545E-02
-2.34800E-07,-8.95922E-03
-2.34400E-07,-8.73281E-04
-2.34000E-07,-8.73281E-04
-2.33600E-07,-8.95922E-03
-2.33200E-07,-1.43498E-02
-2.32800E-07,-1.16545E-02
-2.32400E-07,-8.95922E-03
-2.32000E-07,-1.16545E-02
-2.31600E-07,-1.43498E-02
-2.31200E-07,-1.16545E-02
-2.30800E-07,-3.56859E-03
-2.30400E-07,-8.73281E-04
-2.30000E-07,-3.56859E-03
-2.29600E-07,-3.56859E-03
-2.29200E-07,-8.73281E-04
-2.28800E-07,1.82203E-03
-2.28400E-07,-3.56859E-03
-2.28000E-07,-1.16545E-02
-2.27600E-07,-1.16545E-02
-2.27200E-07,-6.26391E-03
-2.26800E-07,-3.56859E-03
-2.26400E-07,-3.56859E-03
-2.26000E-07,-6.26391E-03
-2.25600E-07,-6.26391E-03
-2.25200E-07,-6.26391E-03
-2.24800E-07,-8.95922E-03
-2.24400E-07,-8.95922E-03
-2.24000E-07,-3.56859E-03
-2.23600E-07,1.82203E-03
-2.23200E-07,1.82203E-03
-2.22800E-07,-3.56859E-03
-2.22400E-07,-1.16545E-02
-2.22000E-07,-1.16545E-02
-2.21600E-07,-3.56859E-03
-2.21200E-07,4.51734E-03
-2.20800E-07,4.51734E-03
-2.20400E-07,-3.56859E-03
-2.20000E-07,-1.16545E-02
-2.19600E-07,-1.16545E-02
-2.19200E-07,-6.26391E-03
-2.18800E-07,-6.26391E-03
-2.18400E-07,-6.26391E-03
-2.18000E-07,-6.26391E-03
-2.17600E-07,-8.73281E-04
-2.17200E-07,1.82203E-03
-2.16800E-07,-3.56859E-03
-2.16400E-07,-8.95922E-03
-2.16000E-07,-1.16545E-02
-2.15600E-07,-8.95922E-03
-2.15200E-07,-3.56859E-03
-2.14800E-07,-8.73281E-04
-2.14400E-07,-8.73281E-04
-2.14000E-07,1.82203E-03
-2.13600E-07,4.51734E-03
-2.13200E-07,4.51734E-03
-2.12800E-07,-8.73281E-04
-2.12400E-07,-6.26391E-03
-2.12000E-07,-6.26391E-03
-2.11600E-07,-8.73281E-04
-2.11200E-07,-8.73281E-04
-2.10800E-07,-8.95922E-03
-2.10400E-07,-1.43498E-02
-2.10000E-07,-1.16545E-02
-2.09600E-07,-3.56859E-03
-2.09200E-07,-8.73281E-04
-2.08800E-07,-8.73281E-04
-2.08400E-07,4.51734E-03
-2.08000E-07,9.90797E-03
-2.07600E-07,7.21266E-03
-2.07200E-07,-3.56859E-03
-2.06800E-07,-1.16545E-02
-2.06400E-07,-1.16545E-02
-2.06000E-07,-6.26391E-03
-2.05600E-07,-8.73281E-04
-2.05200E-07,-8.73281E-04
-2.04800E-07,-3.56859E-03
-2.04400E-07,-1.16545E-02
-2.04000E-07,-1.70452E-02
-2.03600E-07,-1.70452E-02
-2.03200E-07,-8.95922E-03
-2.02800E-07,4.51734E-03
-2.02400E-07,9.90797E-03
-2.02000E-07,4.51734E-03
-2.01600E-07,-6.26391E-03
-2.01200E-07,-1.43498E-02
-2.00800E-07,-1.16545E-02
-2.00400E-07,-8.73281E-04
-2.00000E-07,4.51734E-03
-1.99600E-07,4.51734E-03
-1.99200E-07,-8.73281E-04
-1.98800E-07,-3.56859E-03
-1.98400E-07,-6.26391E-03
-1.98000E-07,-6.26391E-03
-1.97600E-07,-3.56859E-03
-1.97200E-07,1.82203E-03
-1.96800E-07,4.51734E-03
-1.96400E-07,4.51734E-03
-1.96000E-07,4.51734E-03
-1.95600E-07,4.51734E-03
-1.95200E-07,-3.56859E-03
-1.94800E-07,-1.43498E-02
-1.94400E-07,-1.97405E-02
-1.94000E-07,-1.43498E-02
-1.93600E-07,-6.26391E-03
-1.93200E-07,-3.56859E-03
-1.92800E-07,4.51734E-03
-1.92400E-07,1.52986E-02
-1.92000E-07,1.52986E-02
-1.91600E-07,-3.56859E-03
-1.91200E-07,-1.97405E-02
-1.90800E-07,-1.16545E-02
-1.90400E-07,4.51734E-03
-1.90000E-07,7.21266E-03
-1.89600E-07,-3.56859E-03
-1.89200E-07,-1.16545E-02
-1.88800E-07,-1.16545E-02
-1.88400E-07,-6.26391E-03
-1.88000E-07,-3.56859E-03
-1.87600E-07,1.82203E-03
-1.87200E-07,7.21266E-03
-1.86800E-07,7.21266E-03
-1.86400E-07,-8.73281E-04
-1.86000E-07,-8.95922E-03
-1.85600E-07,-1.16545E-02
-1.85200E-07,-8.95922E-03
-1.84800E-07,-8.95922E-03
-1.84400E-07,-8.95922E-03
-1.84000E-07,-6.26391E-03
-1.83600E-07,-8.73281E-04
-1.83200E-07,-8.73281E-04
-1.82800E-07,-6.26391E-03
-1.82400E-07,-1.16545E-02
-1.82000E-07,-1.43498E-02
-1.81600E-07,-1.70452E-02
-1.81200E-07,-1.70452E-02
-1.80800E-07,-8.95922E-03
-1.80400E-07,7.21266E-03
-1.80000E-07,1.26033E-02
-1.79600E-07,1.82203E-03
-1.79200E-07,-1.16545E-02
-1.78800E-07,-1.16545E-02
-1.78400E-07,-3.56859E-03
-1.78000E-07,-8.73281E-04
-1.77600E-07,-6.26391E-03
-1.77200E-07,-8.95922E-03
-1.76800E-07,-8.73281E-04
-1.76400E-07,7.21266E-03
-1.76000E-07,4.51734E-03
-1.75600E-07,-3.56859E-03
-1.75200E-07,-6.26391E-03
-1.74800E-07,-6.26391E-03
-1.74400E-07,-6.26391E-03
-1.74000E-07,-1.16545E-02
-1.73600E-07,-1.16545E-02
-1.73200E-07,-8.95922E-03
-1.72800E-07,-6.26391E-03
-1.72400E-07,-8.95922E-03
-1.72000E-07,-6.26391E-03
-1.71600E-07,-3.56859E-03
-1.71200E-07,-6.26391E-03
-1.70800E-07,-1.43498E-02
-1.70400E-07,-1.43498E-02
-1.70000E-07,-8.73281E-04
-1.69600E-07,7.21266E-03
-1.69200E-07,-8.73281E-04
-1.68800E-07,-8.95922E-03
-1.68400E-07,-8.73281E-04
-1.68000E-07,7.21266E-03
-1.67600E-07,1.82203E-03
-1.67200E-07,-1.16545E-02
-1.66800E-07,-1.16545E-02
-1.66400E-07,-8.73281E-04
-1.66000E-07,1.82203E-03
-1.65600E-07,-8.73281E-04
-1.65200E-07,-3.56859E-03
-1.64800E-07,-6.26391E-03
-1.64400E-07,-1.16545E-02
-1.64000E-07,-1.43498E-02
-1.63600E-07,-6.26391E-03
-1.63200E-07,4.51734E-03
-1.62800E-07,7.21266E-03
-1.62400E-07,1.82203E-03
-1.62000E-07,-3.56859E-03
-1.61600E-07,-3.56859E-03
-1.61200E-07,4.51734E-03
-1.60800E-07,1.26033E-02
-1.60400E-07,1.52986E-02
-1.60000E-07,9.90797E-03
-1.59600E-07,1.82203E-03
-1.59200E-07,-3.56859E-03
-1.58800E-07,1.82203E-03
-1.58400E-07,7.21266E-03
-1.58000E-07,7.21266E-03
-1.57600E-07,4.51734E-03
-1.57200E-07,1.82203E-03
-1.56800E-07,-8.73281E-04
-1.56400E-07,-8.73281E-04
-1.56000E-07,-3.56859E-03
-1.55600E-07,-3.56859E-03
-1.55200E-07,-8.73281E-04
-1.54800E-07,1.82203E-03
-1.54400E-07,1.82203E-03
-1.54000E-07,-8.73281E-04
-1.53600E-07,-8.73281E-04
-1.53200E-07,-8.73281E-04
-1.52800E-07,-3.56859E-03
-1.52400E-07,-6.26391E-03
-1.52000E-07,-3.56859E-03
-1.51600E-07,-8.73281E-04
-1.51200E-07,-8.73281E-04
-1.50800E-07,-6.26391E-03
-1.50400E-07,-6.26391E-03
-1.50000E-07,-8.73281E-04
-1.49600E-07,7.21266E-03
-1.49200E-07,7.21266E-03
-1.48800E-07,-3.56859E-03
-1.48400E-07,-1.16545E-02
-1.48000E-07,-8.95922E-03
-1.47600E-07,-3.56859E-03
-1.47200E-07,-8.73281E-04
-1.46800E-07,-3.56859E-03
-1.46400E-07,4.51734E-03
-1.46000E-07,1.79939E-02
-1.45600E-07,2.33845E-02
-1.45200E-07,9.90797E-03
-1.44800E-07,-8.95922E-03
-1.44400E-07,-1.43498E-02
-1.44000E-07,-8.95922E-03
-1.43600E-07,-3.56859E-03
-1.43200E-07,-3.56859E-03
-1.42800E-07,-3.56859E-03
-1.42400E-07,-8.73281E-04
-1.42000E-07,4.51734E-03
-1.41600E-07,4.51734E-03
-1.41200E-07,1.82203E-03
-1.40800E-07,-8.73281E-04
-1.40400E-07,-8.73281E-04
-1.40000E-07,-3.56859E-03
-1.39600E-07,-8.95922E-03
-1.39200E-07,-1.16545E-02
-1.38800E-07,-8.95922E-03
-1.38400E-07,-3.56859E-03
-1.38000E-07,1.82203E-03
-1.37600E-07,1.82203E-03
-1.37200E-07,-3.56859E-03
-1.36800E-07,-1.43498E-02
-1.36400E-07,-2.24358E-02
-1.36000E-07,-1.97405E-02
-1.35600E-07,-8.73281E-04
-1.35200E-07,1.26033E-02
-1.34800E-07,9.90797E-03
-1.34400E-07,-3.56859E-03
-1.34000E-07,-8.95922E-03
-1.33600E-07,-3.56859E-03
-1.33200E-07,4.51734E-03
-1.32800E-07,-8.73281E-04
